mint gas,trade gas,cross chain fee
53575217460000,76803944750000,38753961212165472
41478997800000,76954255410000,38753961212165472
41408878420000,72366372900000,38753961212165472
41395536690000,74103271780000,38753961212165472
41382307930000,79171704470000,38753961212165472
41329781480000,77637604270000,38753961212165472
41274179780000,77140763830000,38753961212165472
41237607040000,75240075180000,38753961212165472
41218543290000,72256563490000,38753961212165472
41083458120000,76202610700000,38753961212165472
41033471380000,78253902740000,38753961212165472
41023192520000,76279167610000,38753961212165472
40941722490000,72150413890000,38753961212165472
40894445840000,77967464400000,38753961212165472
40874927940000,78155942920000,38753961212165472
40862446610000,77164294520000,38753961212165472
40842089690000,79494461700000,38753961212165472
40688344490000,79467792330000,38753961212165472
40602227610000,77768658390000,38753961212165472
40545538620000,77120998200000,38753961212165472
40494341460000,78399058560000,38753961212165472
40486966240000,77637654320000,38753961212165472
40484937900000,77429340540000,38753961212165472
40451754900000,77953806000000,38753961212165472
40449017200000,77194263880000,38753961212165472
40384678620000,76641744910000,38753961212165472
40369733390000,76272348240000,38753961212165472
40349816400000,77774004630000,38753961212165472
40284303520000,76247355990000,38753961212165472
40134332280000,76615708470000,38753961212165472
40131719980000,75450377800000,38753961212165472
40093061330000,76326872770000,38753961212165472
39991943680000,77935813200000,38753961212165472
39955232240000,77086985100000,38753961212165472
39890021060000,77522575380000,38753961212165472
39864410740000,76766411560000,38753961212165472
39795734160000,75563592320000,38753961212165472
39781892920000,75688209250000,38753961212165472
39781224220000,75966537800000,38753961212165472
39681566730000,72645331520000,38753961212165472
39680217500000,75812766480000,38753961212165472
39679469510000,75088501240000,38753961212165472
39671802750000,77022449140000,38753961212165472
39657856700000,76670836840000,38753961212165472
39608553600000,75439316750000,38753961212165472
39608553600000,76492629810000,38753961212165472
39607494750000,74388883220000,38753961212165472
39543162120000,75288985680000,38753961212165472
39504696560000,73663074310000,38753961212165472
39498010860000,76006791650000,38753961212165472
39491822840000,79712336800000,38753961212165472
39433657340000,75173499560000,38753961212165472
39391397360000,78367452590000,38753961212165472
39364044200000,76329330570000,38753961212165472
39146142420000,75512988930000,38753961212165472
38923036180000,74280385260000,38753961212165472
38905290240000,75369852360000,38753961212165472
38856204140000,78792119510000,38753961212165472
38854836690000,73316689220000,38753961212165472
38845134020000,74878810840000,38753961212165472
38769125640000,76247421300000,38753961212165472
38768843960000,74295406820000,38753961212165472
38696186760000,75541860460000,38753961212165472
38672771330000,78408272790000,38753961212165472
38609126250000,76967016180000,38753961212165472
38504307320000,74012233930000,38753961212165472
38484961900000,72966320870000,38753961212165472
38311103600000,73079815850000,38753961212165472
38231379240000,75643148620000,38753961212165472
38211357240000,73370855030000,38753961212165472
38078064460000,76690940070000,38753961212165472
38052781180000,75833911940000,38753961212165472
38008297770000,72838671080000,38753961212165472
37923587830000,77500226240000,38753961212165472
37826157980000,74716629030000,38753961212165472
37797762090000,75859419080000,38753961212165472
37765364310000,77602385760000,38753961212165472
37707250050000,79512668650000,38753961212165472
37699226180000,71515775380000,38753961212165472
37676391060000,72828932210000,38753961212165472
37648276280000,76945232090000,38753961212165472
37569811570000,72514959710000,38753961212165472
37562333780000,75987830560000,38753961212165472
37538450100000,74895218170000,38753961212165472
37504399030000,72574968840000,38753961212165472
37452191700000,71774623580000,38753961212165472
37404900360000,78910737650000,38753961212165472
37368845020000,74695919360000,38753961212165472
37346822830000,75173571170000,38753961212165472
37234220100000,70758146610000,38753961212165472
37228541000000,79529432970000,38753961212165472
37177651280000,72229599070000,38753961212165472
37177645320000,77278505360000,38753961212165472
37152212000000,78204916120000,38753961212165472
37109664900000,71164339170000,38753961212165472
37003274000000,71376395580000,38753961212165472
36939832080000,71920978780000,38753961212165472
36846893580000,78392803170000,38753961212165472
36594288490000,75302831730000,38753961212165472
36523772190000,73059171420000,38753961212165472
