mint gas,trade gas,cross chain fee
143082015166692,237093024894765,11621414898238204
143082015071304,237093024894765,11621414898238204
143082014880528,237093024183486,11621414898238204
143082014785140,237093025052827,11621414898238204
143082014785140,237093024183486,11621414898238204
143082014785140,237093024183486,14136162470876620
143082014689752,237093024420579,11621414898238204
143082014546670,237093024183486,11621414898238204
143082014526144,237093024584579,14136162470876620
143082014522600,237093024145317,14136162470876620
143082014513813,237093024546980,14136162470876620
143082014513594,237093024812569,14136162470876620
143082014507297,237093023426281,14136162470876620
143082014494757,237093023808636,14136162470876620
143082014491783,237093023829660,14136162470876620
143082014478788,237093024137092,14136162470876620
143082014475605,237093023973671,14136162470876620
143082014469414,237093025056406,14136162470876620
143082014467659,237093024323346,14136162470876620
143082014463585,237093023990498,14136162470876620
143082014461043,237093024980113,14136162470876620
143082014436491,237093024944633,14136162470876620
143082014432442,237093024842465,14136162470876620
143082014424916,237093024725589,14136162470876620
143082014422301,237093024940875,14136162470876620
143082014414606,237093024079747,14136162470876620
143082014405892,237093024543065,14136162470876620
143082014403588,237093023867362,11621414898238204
143082014386913,237093023521341,14136162470876620
143082014385450,237093024685929,14136162470876620
143082014381880,237093024015161,14136162470876620
143082014376625,237093024131478,14136162470876620
143082014372871,237093024220513,14136162470876620
143082014368934,237093024972001,14136162470876620
143082014355894,237093023393176,14136162470876620
143082014352554,237093023642494,14136162470876620
143082014348016,237093024326951,14136162470876620
143082014344064,237093023689991,14136162470876620
143082014343582,237093024896106,14136162470876620
143082014341294,237093023744665,14136162470876620
143082014334051,237093024590889,14136162470876620
143082014331710,237093024448398,14136162470876620
143082014331301,237093024441226,14136162470876620
143082014314887,237093024726331,14136162470876620
143082014308366,237093024612983,14136162470876620
143082014308200,237093023867362,26033170338933810
143082014308200,237093023946393,11621414898238204
143082014302957,237093024339738,14136162470876620
143082014286601,237093024189898,14136162470876620
143082014273653,237093024774633,14136162470876620
143082014272644,237093023864966,14136162470876620
143082014267936,237093023830051,14136162470876620
143082014266844,237093023919838,14136162470876620
143082014264034,237093023839556,14136162470876620
143082014253666,237093023679329,14136162470876620
143082014251386,237093023691454,14136162470876620
143082014251201,237093024768356,14136162470876620
143082014249174,237093024149265,14136162470876620
143082014242357,237093023454801,14136162470876620
143082014238794,237093024487638,14136162470876620
143082014218398,237093024297702,14136162470876620
143082014212812,237093023946393,11621414898238204
143082014212160,237093024332760,14136162470876620
143082014200634,237093024748755,14136162470876620
143082014200063,237093025079647,14136162470876620
143082014194934,237093024435993,14136162470876620
143082014179714,237093023471832,14136162470876620
143082014179252,237093023754990,14136162470876620
143082014174593,237093023709691,14136162470876620
143082014171682,237093024604992,14136162470876620
143082014170188,237093024196667,14136162470876620
143082014165118,237093023077052,11621414898238204
143082014162299,237093024352860,14136162470876620
143082014151089,237093024341372,14136162470876620
143082014130521,237093025059303,14136162470876620
143082014123598,237093023856713,14136162470876620
143082014115376,237093023702275,14136162470876620
143082014112980,237093024597161,14136162470876620
143082014078618,237093024608070,14136162470876620
143082014073590,237093024769694,14136162470876620
143082014062081,237093023861024,14136162470876620
143082014031602,237093024033128,14136162470876620
143082014030599,237093025019884,14136162470876620
143082014029111,237093024671128,14136162470876620
143082014022948,237093024998730,14136162470876620
143082014021906,237093024542083,14136162470876620
143082014009925,237093024466200,14136162470876620
143082014005387,237093023729832,14136162470876620
143082013978536,237093024275137,14136162470876620
143082013968610,237093024572924,14136162470876620
143082013965286,237093024051261,14136162470876620
143082013964999,237093023559025,14136162470876620
143082013963412,237093023850186,14136162470876620
143082013960477,237093023656870,14136162470876620
143082013943376,237093024556611,14136162470876620
143082013934507,237093023960121,14136162470876620
143082013933419,237093023901217,14136162470876620
143082013927111,237093024878124,14136162470876620
143082013926648,237093023235114,26033170338933810
143082013783566,237093022998021,11621414898238204
