mint gas,trade gas,cross chain fee
196824983222669,324453154022916,5464724784591156
194402384420821,319739195439139,5464724784591156
192754347277390,319037212966312,5464724784591156
191288392161627,316828148696730,5464724784591156
190059167287980,312608386963871,5464724784591156
186612530812469,317088183352821,5464724784591156
195268674280125,329284014929584,5464724784591156
201028628090177,334662890474659,5464724784591156
206646119426211,349590802975784,5464724784591156
208872109113524,361277936631607,5464724784591156
223950372087831,379754738432213,5464724784591156
228994821988397,379017402927319,5464724784591156
225240277040874,374113451286788,5464724784591156
222910745658862,365240227197406,5464724784591156
226217181939396,373596688386651,5464724784591156
223588453194157,367492155660618,5464724784591156
219831786464579,364219973159895,5464724784591156
222246663479031,375195997210763,5464724784591156
228325641739672,377948061581855,5464724784591156
226108706515020,370793804980334,5464724784591156
223345870955475,377340301558492,5464724784591156
230140575565650,387702844302717,5464724784591156
232069726558350,381919507904811,5464724784591156
230375352008746,390183291155328,5464724784591156
235069948715299,385217928547375,5464724784591156
230453505543376,377226168204854,5464724784591156
224953839582556,370469150650802,5464724784591156
189319198034758,350644176219369,5464724784591156
208554253541134,321468523384853,5464724784591156
223633519586578,358335712282614,5464724784591156
213463613009405,325371337603057,5464724784591156
230913370176499,384234159795393,5464724784591156
203150859262070,383613597632257,5464724784591156
227801304795539,382497568354039,5464724784591156
233334878290401,372161729742692,5464724784591156
234957027093548,363394900760408,5464724784591156
197382950101711,360168806569367,5464724784591156
209747126933683,340577427876953,5464724784591156
197093339764932,373267987232651,5464724784591156
229352267222430,327638832557829,5464724784591156
221860300375576,376275107405041,5464724784591156
212053875183491,334357554712809,5464724784591156
223625411191462,338690473658539,5464724784591156
202829903745914,329768271498270,5464724784591156
233085046111567,379039560228890,5464724784591156
225236982304053,329308884301728,5464724784591156
229570286583001,329915713193517,5464724784591156
197315101421921,338390216437498,5464724784591156
210328834891534,351578079331803,5464724784591156
205169796886141,384188956215510,5464724784591156
204972505545691,320624837351122,5464724784591156
214561861476345,337954342578250,5464724784591156
211943498376121,331568221723937,5464724784591156
227885983525101,358374720430973,5464724784591156
201692232030365,342592065243522,5464724784591156
191176158621327,348709961567557,5464724784591156
195223625495785,374216702909218,5464724784591156
221556567831086,323062191521670,5464724784591156
203447309832392,334501976369416,5464724784591156
191429666110313,352121291192820,5464724784591156
229939533295736,356953518624963,5464724784591156
227833585982620,313558798242564,5464724784591156
224543881107822,350727499550023,5464724784591156
190503617608622,371374817928661,5464724784591156
219621092571279,352401982603097,5464724784591156
197073532100683,355888783810598,5464724784591156
201686449398879,331040283426607,5464724784591156
212092341565045,320575279534324,5464724784591156
192860766754239,361512070049225,5464724784591156
199790241564341,328237467531917,5464724784591156
194639441120950,313048261532613,5464724784591156
198497498013678,381214734759880,5464724784591156
188297822289832,336823186704827,5464724784591156
193027020379934,334126558453107,5464724784591156
232137474133792,334904413666952,5464724784591156
186839046001081,317397913530864,5464724784591156
203438711853042,336782408744565,5464724784591156
218290373224816,382045378836658,5464724784591156
197183450815873,372852429700051,5464724784591156
224450399627157,377573213709560,5464724784591156
220913238101218,339759200508121,5464724784591156
204084448266607,361930055013080,5464724784591156
208130348635012,354312153258445,5464724784591156
189223998547111,357962909837889,5464724784591156
212387369142341,388095023010480,5464724784591156
220641647363955,377783022297757,5464724784591156
188112125979605,386406034627530,5464724784591156
210981358988245,360183093473543,5464724784591156
188961927512538,367701008828529,5464724784591156
194986834040311,353485707181242,5464724784591156
197441635490133,316595720836560,5464724784591156
190982145063032,323933477393054,5464724784591156
192456882728955,322989771169321,5464724784591156
208687630493568,364909502632634,5464724784591156
225271544665779,353112960088013,5464724784591156
208496044307960,321105412954177,5464724784591156
187250111109143,383855078135750,5464724784591156
191202896821414,358078323509821,5464724784591156
220541126180836,318435212467201,5464724784591156
201818669276744,317181481730524,5464724784591156
